model,n,provisional_acc_all,provisional_acc_one_shot,provisional_acc_recurring_late,n_acc_recurring_final,n_acc_one_shot_final,false_consolidation_gap,background_acc_final,rho_one_shot,rho_recurring_late
MLP,8,0.962890624866954,0.9628906254656613,0.987467447295785,0.77001953125,0.5953826904296875,0.5953826904296875,0.72705078125,1.0,1.0
ChevronSlow,8,0.9582868305567119,0.956949869170785,0.985677083954215,0.6922607421875,0.505340576171875,0.505340576171875,0.79833984375,1.0,1.0
IDLGated,8,0.9311058398868357,0.9210611984599382,0.9817708302289248,0.69720458984375,0.467529296875,0.467529296875,0.805419921875,0.010986942797899246,1.0
