seed,episode,model,rule_id,rule_kind,occurrence,provisional_acc,before_acc,n_query_acc,rho,a_n_distance,background_acc
0,15,ChevronSlow,recurring_3,recurring,3,1.0,0.2083333283662796,0.4895833432674408,1.0,0.018775753785491036,0.8828125
0,15,IDLGated,recurring_3,recurring,3,0.96875,0.0625,0.1458333283662796,0.8175744414329529,0.03803588523384048,0.90234375
0,16,MLP,recurring_0,recurring,4,1.0,1.0,0.0,1.0,0.0,0.8046875
0,16,ChevronSlow,recurring_0,recurring,4,1.0,0.8645833134651184,0.9895833134651184,1.0,0.007927300609193721,0.865234375
0,16,IDLGated,recurring_0,recurring,4,1.0,0.6145833134651184,0.7395833134651184,0.9890130758285522,0.022426745896371118,0.884765625
0,17,MLP,recurring_3,recurring,4,0.96875,0.8333333134651184,0.0,1.0,0.0,0.779296875
0,17,ChevronSlow,recurring_3,recurring,4,0.9791666865348816,0.5625,0.6979166865348816,1.0,0.013185889879764748,0.85546875
0,17,IDLGated,recurring_3,recurring,4,0.8854166865348816,0.3333333432674408,0.4895833432674408,0.9890130758285522,0.020592029236369724,0.87109375
0,18,MLP,recurring_1,recurring,6,1.0,1.0,0.0,1.0,0.0,0.8671875
0,18,ChevronSlow,recurring_1,recurring,6,1.0,1.0,1.0,1.0,0.009153406653033285,0.87109375
0,18,IDLGated,recurring_1,recurring,6,1.0,1.0,1.0,0.9999724626541138,0.007921520125615098,0.87890625
0,19,MLP,one_shot_9,one_shot,1,0.84375,0.3958333432674408,0.0,1.0,0.0,0.806640625
0,19,ChevronSlow,one_shot_9,one_shot,1,0.8541666865348816,0.40625,0.5208333134651184,1.0,0.017024375784289898,0.865234375
0,19,IDLGated,one_shot_9,one_shot,1,0.8645833134651184,0.2916666567325592,0.3020833432674408,0.010986942797899246,0.030088317204470628,0.880859375
0,20,MLP,recurring_0,recurring,5,1.0,1.0,0.0,1.0,0.0,0.833984375
0,20,ChevronSlow,recurring_0,recurring,5,1.0,0.9895833134651184,0.9895833134651184,1.0,0.003016438253210003,0.86328125
0,20,IDLGated,recurring_0,recurring,5,0.90625,0.6666666865348816,0.7083333134651184,0.9994471669197083,0.014931730675134914,0.87890625
0,21,MLP,one_shot_6,one_shot,1,1.0,0.1770833283662796,0.0,1.0,0.0,0.7109375
0,21,ChevronSlow,one_shot_6,one_shot,1,1.0,0.3333333432674408,0.6041666865348816,1.0,0.02118337090545489,0.83984375
0,21,IDLGated,one_shot_6,one_shot,1,0.9375,0.21875,0.2291666716337204,0.010986942797899246,0.026585076178448908,0.87890625
0,22,MLP,one_shot_14,one_shot,1,1.0,1.0,0.0,1.0,0.0,0.80078125
0,22,ChevronSlow,one_shot_14,one_shot,1,1.0,0.6979166865348816,0.7708333134651184,1.0,0.01025260041674836,0.833984375
0,22,IDLGated,one_shot_14,one_shot,1,0.96875,0.3333333432674408,0.3333333432674408,0.010986942797899246,0.02650392407419008,0.880859375
0,23,MLP,recurring_2,recurring,3,0.9166666865348816,1.0,0.0,1.0,0.0,0.888671875
0,23,ChevronSlow,recurring_2,recurring,3,0.9166666865348816,1.0,1.0,1.0,0.009334360706122757,0.8515625
0,23,IDLGated,recurring_2,recurring,3,0.875,0.8854166865348816,0.8854166865348816,0.8175744414329529,0.013735733221354999,0.884765625
0,24,MLP,recurring_2,recurring,4,1.0,0.9375,0.0,1.0,0.0,0.83203125
0,24,ChevronSlow,recurring_2,recurring,4,1.0,1.0,1.0,1.0,0.005121226577979214,0.849609375
0,24,IDLGated,recurring_2,recurring,4,0.9895833134651184,0.9270833134651184,0.9375,0.9890130758285522,0.008870753041145586,0.880859375
0,25,MLP,one_shot_13,one_shot,1,1.0,0.2395833283662796,0.0,1.0,0.0,0.7265625
0,25,ChevronSlow,one_shot_13,one_shot,1,1.0,0.0729166641831398,0.3645833432674408,1.0,0.026077749307809622,0.841796875
0,25,IDLGated,one_shot_13,one_shot,1,0.8020833134651184,0.0,0.0,0.010986942797899246,0.03717009616849304,0.880859375
0,26,MLP,one_shot_11,one_shot,1,0.9375,0.625,0.0,1.0,0.0,0.8203125
0,26,ChevronSlow,one_shot_11,one_shot,1,0.9583333134651184,0.4791666567325592,0.6458333134651184,1.0,0.030334013291829696,0.873046875
0,26,IDLGated,one_shot_11,one_shot,1,0.9375,0.2916666567325592,0.2916666567325592,0.010986942797899246,0.03722245052238885,0.8828125
0,27,MLP,recurring_1,recurring,7,1.0,0.9895833134651184,0.0,1.0,0.0,0.81640625
0,27,ChevronSlow,recurring_1,recurring,7,1.0,1.0,1.0,1.0,0.007105460389893339,0.892578125
0,27,IDLGated,recurring_1,recurring,7,0.9479166865348816,1.0,1.0,0.9999985694885254,0.010609177382509053,0.90234375
0,28,MLP,recurring_1,recurring,8,1.0,1.0,0.0,1.0,0.0,0.89453125
0,28,ChevronSlow,recurring_1,recurring,8,1.0,1.0,1.0,1.0,0.007190907109401741,0.8984375
0,28,IDLGated,recurring_1,recurring,8,0.9479166865348816,1.0,1.0,0.9999998807907104,0.010057976716176007,0.916015625
0,29,MLP,recurring_3,recurring,5,1.0,0.1354166716337204,0.0,1.0,0.0,0.734375
0,29,ChevronSlow,recurring_3,recurring,5,1.0,0.2083333283662796,0.5208333134651184,1.0,0.023993089610234348,0.875
0,29,IDLGated,recurring_3,recurring,5,1.0,0.1770833283662796,0.3645833432674408,0.9994471669197083,0.030081408859311137,0.896484375
0,30,MLP,recurring_2,recurring,5,1.0,1.0,0.0,1.0,0.0,0.81640625
0,30,ChevronSlow,recurring_2,recurring,5,1.0,0.9375,0.9791666865348816,1.0,0.01154168896137714,0.869140625
0,30,IDLGated,recurring_2,recurring,5,0.9895833134651184,0.875,0.9270833134651184,0.9994471669197083,0.010928393131525417,0.890625
0,31,MLP,recurring_0,recurring,6,1.0,1.0,0.0,1.0,0.0,0.841796875
0,31,ChevronSlow,recurring_0,recurring,6,1.0,0.9895833134651184,1.0,1.0,0.00738134327508194,0.87109375
0,31,IDLGated,recurring_0,recurring,6,0.96875,0.8333333134651184,0.8541666865348816,0.9999724626541138,0.006227072882745054,0.888671875
0,32,MLP,one_shot_8,one_shot,1,0.8020833134651184,0.4270833432674408,0.0,1.0,0.0,0.865234375
0,32,ChevronSlow,one_shot_8,one_shot,1,0.8645833134651184,0.3958333432674408,0.5416666865348816,1.0,0.02231190290227976,0.880859375
0,32,IDLGated,one_shot_8,one_shot,1,0.7083333134651184,0.5,0.5,0.010986942797899246,0.021955694921166412,0.890625
0,33,MLP,recurring_3,recurring,6,1.0,0.5520833134651184,0.0,1.0,0.0,0.771484375
0,33,ChevronSlow,recurring_3,recurring,6,1.0,0.4375,0.6666666865348816,1.0,0.015993995582550793,0.85546875
0,33,IDLGated,recurring_3,recurring,6,1.0,0.4583333432674408,0.5416666865348816,0.9999724626541138,0.021778177076258683,0.876953125
0,34,MLP,recurring_3,recurring,7,0.9895833134651184,1.0,0.0,1.0,0.0,0.83203125
0,34,ChevronSlow,recurring_3,recurring,7,0.875,0.8020833134651184,0.8333333134651184,1.0,0.0047519143467535515,0.853515625
0,34,IDLGated,recurring_3,recurring,7,0.7083333134651184,0.7708333134651184,0.7604166865348816,0.9999985694885254,0.007386557841082788,0.8828125
0,35,MLP,one_shot_7,one_shot,1,1.0,0.0,0.0,1.0,0.0,0.66015625
0,35,ChevronSlow,one_shot_7,one_shot,1,1.0,0.0,0.010416666977107525,1.0,0.03281850731085983,0.833984375
0,35,IDLGated,one_shot_7,one_shot,1,0.9895833134651184,0.0,0.0,0.010986942797899246,0.04049572133933477,0.8828125
0,36,MLP,recurring_0,recurring,7,1.0,1.0,0.0,1.0,0.0,0.8359375
0,36,ChevronSlow,recurring_0,recurring,7,1.0,1.0,1.0,1.0,0.007084759890837933,0.8515625
0,36,IDLGated,recurring_0,recurring,7,0.8541666865348816,0.90625,0.90625,0.9999985694885254,0.00891894461194894,0.8828125
0,37,MLP,recurring_1,recurring,9,1.0,1.0,0.0,1.0,0.0,0.83984375
0,37,ChevronSlow,recurring_1,recurring,9,1.0,1.0,1.0,1.0,0.005938807345041788,0.861328125
0,37,IDLGated,recurring_1,recurring,9,1.0,1.0,1.0,1.0,0.01059645884262015,0.896484375
0,38,MLP,one_shot_5,one_shot,1,0.9479166865348816,0.4791666567325592,0.0,1.0,0.0,0.7734375
0,38,ChevronSlow,one_shot_5,one_shot,1,0.90625,0.4479166567325592,0.6458333134651184,1.0,0.017099853674488248,0.861328125
0,38,IDLGated,one_shot_5,one_shot,1,0.8645833134651184,0.3229166567325592,0.3229166567325592,0.010986942797899246,0.019594821404493923,0.896484375
0,39,MLP,recurring_2,recurring,6,1.0,0.84375,0.0,1.0,0.0,0.85546875
0,39,ChevronSlow,recurring_2,recurring,6,1.0,0.9479166865348816,0.9895833134651184,1.0,0.013992459925401851,0.87109375
0,39,IDLGated,recurring_2,recurring,6,1.0,0.875,0.9583333134651184,0.9999724626541138,0.010099371468725471,0.904296875
0,40,MLP,one_shot_15,one_shot,1,1.0,0.1979166716337204,0.0,1.0,0.0,0.5703125
0,40,ChevronSlow,one_shot_15,one_shot,1,1.0,0.1041666641831398,0.4583333432674408,1.0,0.024702286906922746,0.8125
0,40,IDLGated,one_shot_15,one_shot,1,1.0,0.0,0.0,0.010986942797899246,0.03951789119119498,0.904296875
0,41,MLP,one_shot_3,one_shot,1,1.0,1.0,0.0,1.0,0.0,0.677734375
0,41,ChevronSlow,one_shot_3,one_shot,1,1.0,0.5625,0.8125,1.0,0.01159137113829405,0.78515625
0,41,IDLGated,one_shot_3,one_shot,1,0.9583333134651184,0.0520833320915699,0.0520833320915699,0.010986942797899246,0.03032355500087496,0.90234375
0,42,MLP,recurring_2,recurring,7,1.0,1.0,0.0,1.0,0.0,0.814453125
0,42,ChevronSlow,recurring_2,recurring,7,1.0,1.0,1.0,1.0,0.012139892338590174,0.826171875
0,42,IDLGated,recurring_2,recurring,7,1.0,0.9583333134651184,0.9895833134651184,0.9999985694885254,0.008161602507954424,0.89453125
0,43,MLP,recurring_3,recurring,8,1.0,0.875,0.0,1.0,0.0,0.740234375
0,43,ChevronSlow,recurring_3,recurring,8,1.0,0.8541666865348816,0.9375,1.0,0.007534885069344009,0.814453125
0,43,IDLGated,recurring_3,recurring,8,0.9791666865348816,0.46875,0.6041666865348816,0.9999998807907104,0.010973770540563213,0.884765625
0,44,MLP,recurring_0,recurring,8,1.0,1.0,0.0,1.0,0.0,0.845703125
0,44,ChevronSlow,recurring_0,recurring,8,1.0,1.0,1.0,1.0,0.00653056868701081,0.841796875
0,44,IDLGated,recurring_0,recurring,8,0.9375,0.8854166865348816,0.8958333134651184,0.9999998807907104,0.00688469863887781,0.8828125
0,45,MLP,recurring_0,recurring,9,1.0,1.0,0.0,1.0,0.0,0.853515625
0,45,ChevronSlow,recurring_0,recurring,9,1.0,1.0,1.0,1.0,0.004385370362641405,0.849609375
0,45,IDLGated,recurring_0,recurring,9,1.0,0.96875,0.9895833134651184,1.0,0.011019346799821006,0.884765625
0,46,MLP,recurring_3,recurring,9,1.0,0.7604166865348816,0.0,1.0,0.0,0.775390625
0,46,ChevronSlow,recurring_3,recurring,9,1.0,0.7916666865348816,0.9166666865348816,1.0,0.007127922708614576,0.828125
0,46,IDLGated,recurring_3,recurring,9,0.9895833134651184,0.5833333134651184,0.6979166865348816,1.0,0.011673510827789804,0.87109375
0,47,MLP,recurring_2,recurring,8,0.8541666865348816,1.0,0.0,1.0,0.0,0.876953125
0,47,ChevronSlow,recurring_2,recurring,8,0.84375,1.0,1.0,1.0,0.010192753738533105,0.853515625
0,47,IDLGated,recurring_2,recurring,8,0.8125,0.9791666865348816,0.9375,0.9999998807907104,0.012025667854556782,0.87890625
0,48,MLP,recurring_1,recurring,10,1.0,1.0,0.0,1.0,0.0,0.900390625
0,48,ChevronSlow,recurring_1,recurring,10,1.0,1.0,1.0,1.0,0.010393933748782535,0.873046875
0,48,IDLGated,recurring_1,recurring,10,0.9375,1.0,1.0,1.0,0.013692317898703038,0.9140625
0,49,MLP,recurring_2,recurring,9,0.9791666865348816,0.8125,0.0,1.0,0.0,0.873046875
0,49,ChevronSlow,recurring_2,recurring,9,1.0,0.9583333134651184,0.96875,1.0,0.006271677961796728,0.87890625
0,49,IDLGated,recurring_2,recurring,9,0.9583333134651184,0.8541666865348816,0.8958333134651184,1.0,0.008743265177388236,0.91015625
0,50,MLP,one_shot_1,one_shot,1,0.9791666865348816,0.4583333432674408,0.0,1.0,0.0,0.779296875
0,50,ChevronSlow,one_shot_1,one_shot,1,0.9895833134651184,0.4270833432674408,0.6354166865348816,1.0,0.018958222417241207,0.880859375
0,50,IDLGated,one_shot_1,one_shot,1,0.9791666865348816,0.28125,0.2916666567325592,0.010986942797899246,0.0278111931519991,0.91015625
0,51,MLP,recurring_3,recurring,10,1.0,0.7083333134651184,0.0,1.0,0.0,0.728515625
0,51,ChevronSlow,recurring_3,recurring,10,1.0,0.5104166865348816,0.7083333134651184,1.0,0.011304939238673591,0.849609375
0,51,IDLGated,recurring_3,recurring,10,1.0,0.3229166567325592,0.625,1.0,0.0163812021117537,0.888671875
