model,window,n,accuracy,loss,rho,diff,persistence,fast_mismatch,baseline_mismatch,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
ChevronSlow,post_shift_retained,1250,0.97085,0.12983693200349808,1.0,0.2514855870043705,0.09952810215077719,0.2655416482838053,0.38697068963066816,0.04739218635301574,0.45381390936453747,0.3579055143040078
ChevronSlow,pre_shift_stable_300,300,0.975,0.11421941127628088,1.0,0.04893954485971297,4.1418328836206173e-07,0.048374913406944324,0.1262916713317563,0.013347147089876478,0.27009630642292254,0.0
ChevronSlow,pre_temp_stable_300,300,0.9691666666666666,0.12803909067685407,1.0,0.09944098933863577,0.0011707052985060948,0.09928816648211032,0.3070049001570628,0.029113046208688237,0.0,0.0
ChevronSlow,recovery_after_temp_350,350,0.9402232142857143,0.19092319808900357,1.0,0.4883133448950678,0.2659611609129221,0.5784277202561751,0.3789842489239616,0.12333328001493583,0.12148404976915836,0.0
ChevronSlow,shift_adaptation_350,350,0.8916071428571428,0.3132415487723691,1.0,1.2080792249027628,0.6244078043765946,1.1551184631373284,0.31147593050979167,0.13489158824909905,0.30376681261115324,0.14288439712799222
ChevronSlow,temporary_difference,50,0.684375,0.8244901153445244,1.0,1.6080244401554225,0.0687269871311553,0.8974862336883139,0.3035701188605142,0.07466865795722384,0.05153770238074076,0.0
IDLGated,post_shift_retained,1250,0.973625,0.1287641948133707,0.05511470815213397,0.32668603777623556,0.042233225699935414,0.32286939014329546,0.4623916283930438,0.09361526352454036,0.46973317116586105,0.3450133857970419
IDLGated,pre_shift_stable_300,300,0.97421875,0.11625820433720946,0.002117440417253723,0.3145668388745401,0.02445435796367099,0.31227130521017327,0.28398729932243855,0.15539818576595568,0.26233752668877397,0.0
IDLGated,pre_temp_stable_300,300,0.9703125,0.12667403436576327,0.04397905775656303,0.43880742432373704,0.126245244669306,0.43622312963567167,0.3216533954540513,0.15256724054097548,0.0,0.0
IDLGated,recovery_after_temp_350,350,0.945,0.1794153171511633,0.6872931919725878,0.4118266861943061,0.43328239558969023,0.585098521596097,0.4760858422358195,0.08775694455824921,0.20597592470089815,0.0
IDLGated,shift_adaptation_350,350,0.9169642857142857,0.26640901290944646,0.9035571900548945,1.456208837327612,0.8214588973248679,1.4583187737894583,0.5558069428305725,0.11925310768118699,0.37367634459780275,0.20672457994493165
IDLGated,temporary_difference,50,0.67125,0.8399875596165657,0.4672167618572712,2.5971516179172704,0.24390695904720264,1.5527853689580553,0.3860317194734433,0.1894022729531034,0.026055552429064776,0.0
MLP,post_shift_retained,1250,0.970125,0.14118279477059842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,pre_shift_stable_300,300,0.9734375,0.11714893775060772,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,pre_temp_stable_300,300,0.9689583333333334,0.12972660919651388,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,recovery_after_temp_350,350,0.940625,0.1868250401264855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,shift_adaptation_350,350,0.8838392857142857,0.3291331978142262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLP,temporary_difference,50,0.6675,0.8458543410897255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
