seed,t,model,phase,window,accuracy,loss,rho,diff,persistence,fast_mismatch,baseline_mismatch,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
0,1990,ChevronSlow,stable,other,0.984375,0.10266472399234772,1.0,0.15806015991212957,0.0405507317586449,0.1926593716128879,0.3642509353679037,0.04731361387094172,0.1881524750756876,0.0
0,1990,IDLGated,stable,other,0.984375,0.10252910852432251,0.0038317828439176083,0.12506834473013428,0.044647131053240266,0.1314661781921155,0.40230427063885577,0.04267015117402343,0.26106811596634094,0.0
0,1991,MLP,stable,other,0.9375,0.20627737045288086,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1991,ChevronSlow,stable,other,0.9375,0.19014635682106018,1.0,0.15907888826486835,0.04022632590457574,0.19131615227896712,0.3640457633208007,0.04712234107229783,0.18830371674207103,0.0
0,1991,IDLGated,stable,other,0.9375,0.1885441541671753,0.0037910973187536,0.1260027959469302,0.04428995400481434,0.13124764290230811,0.40202796916416383,0.04274111007486123,0.26106957295797345,0.0
0,1992,MLP,stable,other,0.96875,0.16797995567321777,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1992,ChevronSlow,stable,other,0.96875,0.16589470207691193,1.0,0.16600344232257372,0.039904515297339134,0.19030364388071136,0.3638477209998025,0.04692533937952575,0.1884558534837338,0.0
0,1992,IDLGated,stable,other,0.96875,0.1646774709224701,0.003751163138076663,0.11092079640796199,0.043935634372775825,0.13043456904253428,0.4017368619914076,0.04278828068280367,0.26107102994147474,0.0
0,1993,MLP,stable,other,0.921875,0.23520246148109436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1993,ChevronSlow,stable,other,0.921875,0.21700739860534668,1.0,0.1590882646862794,0.03958527917496042,0.1890550287129341,0.363642961543489,0.04673448113017164,0.18861829193626567,0.0
0,1993,IDLGated,stable,other,0.921875,0.20676830410957336,0.003711963538080454,0.10323190277877108,0.04358414929779362,0.12934646239198375,0.401438357032195,0.042848300045992424,0.26107247643503684,0.0
0,1994,MLP,stable,other,0.984375,0.1112927496433258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1994,ChevronSlow,stable,other,0.984375,0.10929497331380844,1.0,0.13688896017496535,0.03926859694156074,0.18696838597141532,0.36341620754212045,0.04654758222150278,0.18879154181995803,0.0
0,1994,IDLGated,stable,other,0.984375,0.10619326680898666,0.0036734791938215494,0.10684630453236234,0.04323547610341127,0.1284464560775989,0.4011437649796951,0.04291666500492214,0.2610739962928263,0.0
0,1995,MLP,stable,other,0.984375,0.04129656031727791,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1995,ChevronSlow,stable,other,0.984375,0.03879301995038986,1.0,0.12274809160844635,0.038954448166028256,0.18439957419689654,0.3631755394261868,0.046376747788603206,0.18896487180808139,0.0
0,1995,IDLGated,stable,other,0.984375,0.0428222231566906,0.0036356966011226177,0.10710742460694929,0.04288959229458398,0.1275928948187729,0.4008497286393224,0.04300883562684252,0.26107547421501914,0.0
0,1996,MLP,stable,other,1.0,0.037258800119161606,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1996,ChevronSlow,stable,other,1.0,0.033526621758937836,1.0,0.12749775335362976,0.03864281258070003,0.18212350136316588,0.36293986164011427,0.04620514662776622,0.18913559778949177,0.0
