seed,step,return_step,phase,model,combined_task1,combined_task2,a_channel_task1,a_channel_task2,n_channel_task1,n_channel_task2,rho,persistence,a_n_distance
0,120,0,task1_initial,MLP,0.93408203125,0.19921875,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,120,0,task1_initial,ChevronSlow,0.939453125,0.19970703125,0.94091796875,0.19970703125,0.93359375,0.21630859375,1.0,0.4641408678152409,0.13569550320916576
0,120,0,task1_initial,IDLGated,0.93798828125,0.2001953125,0.939453125,0.19775390625,0.9248046875,0.23681640625,0.9236065149307251,0.47329036379322587,0.14476065521802428
0,130,0,task1_initial,MLP,0.92919921875,0.220703125,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,130,0,task1_initial,ChevronSlow,0.93603515625,0.21923828125,0.9365234375,0.21923828125,0.9287109375,0.23046875,1.0,0.5301163631829904,0.136272232736112
0,130,0,task1_initial,IDLGated,0.93408203125,0.21875,0.9365234375,0.21875,0.9189453125,0.24951171875,0.9840971231460571,0.5475101442786984,0.14520499444745547
0,140,0,task1_initial,MLP,0.93017578125,0.224609375,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,140,0,task1_initial,ChevronSlow,0.9365234375,0.21826171875,0.9375,0.2158203125,0.92919921875,0.228515625,1.0,0.5935021325067105,0.13537150361567257
0,140,0,task1_initial,IDLGated,0.93798828125,0.21728515625,0.939453125,0.21484375,0.9208984375,0.248046875,0.996698260307312,0.619545621931314,0.14357583571327817
0,150,0,task1_initial,MLP,0.931640625,0.22314453125,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,150,0,task1_initial,ChevronSlow,0.939453125,0.21337890625,0.94189453125,0.2119140625,0.9306640625,0.2275390625,1.0,0.6531150197925712,0.13380591442294384
0,150,0,task1_initial,IDLGated,0.93994140625,0.21142578125,0.9404296875,0.20849609375,0.92333984375,0.24609375,0.9992621541023254,0.6877753065039778,0.1412160722571023
0,160,0,task1_initial,MLP,0.93359375,0.212890625,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,160,0,task1_initial,ChevronSlow,0.9423828125,0.20361328125,0.9462890625,0.20068359375,0.93408203125,0.22119140625,1.0,0.7087951720381883,0.1335742189751629
0,160,0,task1_initial,IDLGated,0.94287109375,0.203125,0.943359375,0.1953125,0.92431640625,0.23974609375,0.9998195767402649,0.7518071828857692,0.14032615299481865
0,170,0,task1_initial,MLP,0.93408203125,0.2021484375,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,170,0,task1_initial,ChevronSlow,0.94677734375,0.201171875,0.94921875,0.20068359375,0.93408203125,0.2177734375,1.0,0.7602371087972621,0.1338451728076683
0,170,0,task1_initial,IDLGated,0.94677734375,0.2001953125,0.947265625,0.19384765625,0.92626953125,0.23681640625,0.9999512434005737,0.81125052512867,0.14033353901000606
0,180,0,task1_initial,MLP,0.93603515625,0.20068359375,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,180,0,task1_initial,ChevronSlow,0.94873046875,0.2001953125,0.9501953125,0.19873046875,0.93603515625,0.21435546875,1.0,0.8075506012687808,0.13424612237113345
0,180,0,task1_initial,IDLGated,0.9482421875,0.19921875,0.94970703125,0.19287109375,0.9287109375,0.2333984375,0.9999854564666748,0.8662150442948219,0.14029840279149788
0,190,0,task1_initial,MLP,0.93701171875,0.21240234375,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,190,0,task1_initial,ChevronSlow,0.94580078125,0.205078125,0.947265625,0.20263671875,0.93798828125,0.22216796875,1.0,0.85087206105527,0.13397788329321686
0,190,0,task1_initial,IDLGated,0.9453125,0.2060546875,0.947265625,0.2001953125,0.92919921875,0.24365234375,0.999995231628418,0.9168342964173559,0.1396474492522749
0,200,0,task1_initial,MLP,0.93603515625,0.2158203125,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,200,0,task1_initial,ChevronSlow,0.94873046875,0.2138671875,0.9521484375,0.21484375,0.9375,0.22509765625,1.0,0.8899450981401947,0.1322273603272476
0,200,0,task1_initial,IDLGated,0.94921875,0.2099609375,0.95068359375,0.20751953125,0.9296875,0.24658203125,0.9999982118606567,0.9625778301504048,0.13774349558566187
0,210,0,task1_initial,MLP,0.9384765625,0.203125,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,210,0,task1_initial,ChevronSlow,0.9541015625,0.19775390625,0.95361328125,0.1953125,0.939453125,0.21630859375,1.0,0.924112948355658,0.1317836806524565
0,210,0,task1_initial,IDLGated,0.95361328125,0.19482421875,0.95703125,0.18603515625,0.93408203125,0.234375,0.9999992847442627,1.002587304608158,0.13675644841321286
0,220,0,task1_initial,MLP,0.9404296875,0.197265625,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,220,0,task1_initial,ChevronSlow,0.95458984375,0.19140625,0.9560546875,0.18505859375,0.94140625,0.21484375,1.0,0.9527320274320272,0.13071983635307563
0,220,0,task1_initial,IDLGated,0.95458984375,0.19140625,0.95458984375,0.18408203125,0.93603515625,0.2353515625,0.9999996423721313,1.0364059213060937,0.13489463594599743
0,230,0,task1_initial,MLP,0.9404296875,0.20947265625,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,230,0,task1_initial,ChevronSlow,0.95703125,0.20703125,0.96044921875,0.205078125,0.9384765625,0.2265625,1.0,0.9765351681449266,0.1297749740385791
0,230,0,task1_initial,IDLGated,0.95654296875,0.2080078125,0.9580078125,0.201171875,0.9287109375,0.2431640625,0.9999997615814209,1.0647202678761496,0.13395951124606
0,240,0,task1_initial,MLP,0.93994140625,0.2099609375,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,240,0,task1_initial,ChevronSlow,0.95947265625,0.2021484375,0.96240234375,0.19970703125,0.93994140625,0.220703125,1.0,0.9955803004251238,0.13039185282007953
0,240,0,task1_initial,IDLGated,0.9580078125,0.201171875,0.96240234375,0.19677734375,0.93408203125,0.23828125,0.9999998807907104,1.0876405772543674,0.13444354712685616
0,250,0,task1_initial,MLP,0.94091796875,0.20068359375,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,250,0,task1_initial,ChevronSlow,0.96240234375,0.19287109375,0.96533203125,0.18701171875,0.9443359375,0.2109375,1.0,1.0108268935809752,0.13164066809120295
0,250,0,task1_initial,IDLGated,0.962890625,0.189453125,0.96533203125,0.18212890625,0.939453125,0.228515625,0.9999998807907104,1.1060902601165787,0.13562952733993883
0,260,0,task1_initial,MLP,0.943359375,0.2080078125,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,260,0,task1_initial,ChevronSlow,0.962890625,0.2021484375,0.9658203125,0.19970703125,0.9462890625,0.21630859375,1.0,1.0227011409319233,0.13139788270762562
0,260,0,task1_initial,IDLGated,0.96240234375,0.20166015625,0.96435546875,0.19677734375,0.9375,0.2353515625,1.0,1.1205298828051775,0.13562582208605028
0,270,0,task1_initial,MLP,0.943359375,0.20068359375,0.0,0.0,0.0,0.0,1.0,0.0,0.0
