model,baseline_task1,after_task2_combined_task1,after_task2_combined_task2,after_task2_n_task1,after_return_combined_task1,after_return_combined_task2,mean_steps_to_95pct_baseline,mean_steps_to_98pct_baseline,mean_steps_to_abs_0_95,rho_after_task2,rho_after_return
MLP,0.99127197265625,0.16290283203125,0.9495849609375,0.0,0.9896240234375,0.19305419921875,30.0,33.75,30.0,1.0,1.0
ChevronSlow,0.99176025390625,0.16522216796875,0.95343017578125,0.1295166015625,0.9891357421875,0.19305419921875,28.75,37.5,30.0,1.0,1.0
IDLGated,0.9921875,0.15869140625,0.94415283203125,0.86614990234375,0.98919677734375,0.191650390625,30.0,41.25,30.0,1.0,0.9751099795103073
