seed,t,model,phase,window,accuracy,loss,rho,diff,persistence,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
0,0,MLP,stable,other,0.171875,0.722503662109375,1.0,0.0,0.0,0.0,0.0,0.0
0,0,ChevronSlow,stable,other,0.453125,0.7310880422592163,1.0,0.0,0.0,0.0,0.0,0.0
0,0,IDLGated,stable,other,0.453125,0.713060736656189,1.6701422282494605e-05,0.0,0.0,0.0,0.0,0.0
0,1,MLP,stable,other,0.359375,0.7047201991081238,1.0,0.0,0.0,0.0,0.0,0.0
0,1,ChevronSlow,stable,other,0.421875,0.7224674224853516,1.0,0.024959793389816534,7.487938016944967e-05,0.00258956738789332,0.0,0.0
0,1,IDLGated,stable,other,0.421875,0.7031693458557129,1.6720992789487354e-05,0.019522640194770857,5.856792058431262e-05,0.003157332930983729,0.0,0.0
0,2,MLP,stable,other,0.609375,0.6903266906738281,1.0,0.0,0.0,0.0,0.0,0.0
0,2,ChevronSlow,stable,other,0.296875,0.7249085903167725,1.0,0.05709575471572431,0.0002459420061761144,0.005047814092770473,0.0,0.0
0,2,IDLGated,stable,other,0.296875,0.7050427794456482,1.6766452972660773e-05,0.04530177931562227,0.00019429755476942662,0.005962952531890259,0.0,0.0
0,3,MLP,stable,other,0.8125,0.6705387234687805,1.0,0.0,0.0,0.0,0.0,0.0
0,3,ChevronSlow,stable,other,0.421875,0.6909759640693665,1.0,0.07921539465536527,0.0004828503641236821,0.0072429119249036965,0.0,0.0
0,3,IDLGated,stable,other,0.765625,0.6721245646476746,1.683067785052117e-05,0.06391548891773573,0.00038546112885832573,0.008285498734389836,0.0,0.0
0,4,MLP,stable,other,0.75,0.6637682914733887,1.0,0.0,0.0,0.0,0.0,0.0
0,4,ChevronSlow,stable,other,0.703125,0.6684175729751587,1.0,0.1001236758786228,0.0007817728406671798,0.009384229439285052,0.0,0.0
0,4,IDLGated,stable,other,0.828125,0.6648637652397156,1.6913589206524193e-05,0.0822887162349309,0.0006311708941765437,0.010764815515960719,0.0,0.0
0,5,MLP,stable,other,0.734375,0.6498720645904541,1.0,0.0,0.0,0.0,0.0,0.0
0,5,ChevronSlow,stable,other,0.859375,0.6657141447067261,1.0,0.13068122887219802,0.0011714712087617725,0.011447994520844478,0.0,0.0
0,5,IDLGated,stable,other,0.8125,0.6584995985031128,1.702213558019139e-05,0.10726519274615821,0.000951072959732489,0.01319219089086624,0.0,0.0
0,6,MLP,stable,other,0.75,0.6416226029396057,1.0,0.0,0.0,0.0,0.0,0.0
0,6,ChevronSlow,stable,other,0.828125,0.6485675573348999,1.0,0.12669085833579935,0.0015480293701428856,0.013494876340094972,0.0,0.0
0,6,IDLGated,stable,other,0.84375,0.6445074081420898,1.713350138743408e-05,0.10963129547112864,0.0012771136272666777,0.01564299656686,0.0,0.0
0,7,MLP,stable,other,0.875,0.5988671779632568,1.0,0.0,0.0,0.0,0.0,0.0
