model,window,n,accuracy,loss,rho,diff,persistence,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
ChevronSlow,post_shift_retained,5000,0.97135,0.13624336479082705,1.0,0.22493252329957858,0.37864532295857156,0.04595070965655129,0.4603864373228282,0.34202516995372323
ChevronSlow,pre_shift_stable_300,1200,0.9746354166666666,0.11522968024325868,1.0,0.0581780571446559,0.06656304084832486,0.013879964905188525,0.31693803692336353,0.0
ChevronSlow,pre_temp_stable_300,1200,0.9707421875,0.12720320091893275,1.0,0.10052810799654371,0.21395497930836843,0.027288825399967187,0.0,0.0
ChevronSlow,recovery_after_temp_350,1400,0.9412834821428572,0.19027028199684407,1.0,0.676141881061082,0.6196366411074362,0.12400405709261918,0.15050253928704657,0.0
ChevronSlow,shift_adaptation_350,1400,0.9037834821428572,0.2979827796268676,1.0,1.1401957960602174,0.5230203286533905,0.13151370322090022,0.34713756583861866,0.15572608866551135
ChevronSlow,temporary_difference,400,0.777109375,0.5595867466181517,1.0,1.4782787189546263,0.34952797278647874,0.09268460755910558,0.07067920461117413,0.0
IDLGated,post_shift_retained,5000,0.970084375,0.13948492445349694,0.1715789403940551,0.28706255942043724,0.4099315951470812,0.07781460788807493,0.4858706801230106,0.3384229753438667
IDLGated,pre_shift_stable_300,1200,0.9739583333333334,0.11697235563304276,0.016212002988904715,0.30136761476391527,0.2754367510383317,0.15316958723250493,0.2824208516557784,0.0
IDLGated,pre_temp_stable_300,1200,0.9700911458333333,0.12929618151392788,0.0511778268761312,0.46635531455764795,0.39668815130264856,0.1522062863150864,0.0,0.0
IDLGated,recovery_after_temp_350,1400,0.94078125,0.19566827808639833,0.8445877479123217,0.3504664379051695,0.7481377553722465,0.06782465853303385,0.22699814683384187,0.0
IDLGated,shift_adaptation_350,1400,0.9002232142857143,0.30101464923338167,0.8872226885475019,1.42337464732148,0.8906811681579432,0.1187673731650591,0.3873415470087244,0.19467728966720477
IDLGated,temporary_difference,400,0.7803515625,0.5594520808756351,0.7209394643455744,2.3058209620070724,0.6782057253458319,0.17065180585634576,0.06981783288408468,0.0
MLP,post_shift_retained,5000,0.96853125,0.14410478605367244,1.0,0.0,0.0,0.0,0.0,0.0
MLP,pre_shift_stable_300,1200,0.97375,0.11739770357497037,1.0,0.0,0.0,0.0,0.0,0.0
MLP,pre_temp_stable_300,1200,0.9697135416666667,0.13024511901506533,1.0,0.0,0.0,0.0,0.0,0.0
MLP,recovery_after_temp_350,1400,0.9409040178571428,0.19224319783571575,1.0,0.0,0.0,0.0,0.0,0.0
MLP,shift_adaptation_350,1400,0.8961607142857143,0.3053128955779331,1.0,0.0,0.0,0.0,0.0,0.0
MLP,temporary_difference,400,0.7715234375,0.5659282353892923,1.0,0.0,0.0,0.0,0.0,0.0
