seed,episode,model,rule_id,rule_kind,occurrence,provisional_acc,before_acc,n_query_acc,rho,a_n_distance,background_acc
0,15,ChevronSlow,recurring_3,recurring,3,1.0,0.2395833283662796,0.65625,1.0,0.016543181804161297,0.86328125
0,15,IDLGated,recurring_3,recurring,3,0.9791666865348816,0.0729166641831398,0.28125,0.8175744414329529,0.03377491937902497,0.888671875
0,16,MLP,recurring_0,recurring,4,1.0,1.0,0.0,1.0,0.0,0.8046875
0,16,ChevronSlow,recurring_0,recurring,4,1.0,1.0,1.0,1.0,0.006969949999892843,0.84765625
0,16,IDLGated,recurring_0,recurring,4,1.0,0.7395833134651184,0.875,0.9890130758285522,0.015942751714384938,0.87109375
0,17,MLP,recurring_3,recurring,4,0.96875,0.8333333134651184,0.0,1.0,0.0,0.779296875
0,17,ChevronSlow,recurring_3,recurring,4,1.0,0.6666666865348816,0.9166666865348816,1.0,0.012625711304108745,0.830078125
0,17,IDLGated,recurring_3,recurring,4,0.8958333134651184,0.46875,0.6458333134651184,0.9890130758285522,0.015824277682639488,0.8515625
0,18,MLP,recurring_1,recurring,6,1.0,1.0,0.0,1.0,0.0,0.8671875
0,18,ChevronSlow,recurring_1,recurring,6,1.0,1.0,1.0,1.0,0.009292303803130193,0.861328125
0,18,IDLGated,recurring_1,recurring,6,1.0,1.0,1.0,0.9999724626541138,0.010373066948438151,0.884765625
0,19,MLP,one_shot_9,one_shot,1,0.84375,0.3958333432674408,0.0,1.0,0.0,0.806640625
0,19,ChevronSlow,one_shot_9,one_shot,1,0.8645833134651184,0.3958333432674408,0.5520833134651184,1.0,0.016011506937294095,0.857421875
0,19,IDLGated,one_shot_9,one_shot,1,0.8229166865348816,0.3020833432674408,0.3020833432674408,0.010986942797899246,0.026526618747252963,0.884765625
0,20,MLP,recurring_0,recurring,5,1.0,1.0,0.0,1.0,0.0,0.833984375
0,20,ChevronSlow,recurring_0,recurring,5,1.0,1.0,1.0,1.0,0.0028194503540517274,0.85546875
0,20,IDLGated,recurring_0,recurring,5,0.9166666865348816,0.6979166865348816,0.7604166865348816,0.9994471669197083,0.011882044519606633,0.890625
0,21,MLP,one_shot_6,one_shot,1,1.0,0.1770833283662796,0.0,1.0,0.0,0.7109375
0,21,ChevronSlow,one_shot_6,one_shot,1,1.0,0.2291666716337204,0.6666666865348816,1.0,0.02246248040142477,0.814453125
0,21,IDLGated,one_shot_6,one_shot,1,0.9583333134651184,0.1770833283662796,0.1875,0.010986942797899246,0.02811313724137363,0.888671875
0,22,MLP,one_shot_14,one_shot,1,1.0,1.0,0.0,1.0,0.0,0.80078125
0,22,ChevronSlow,one_shot_14,one_shot,1,1.0,0.8333333134651184,0.96875,1.0,0.009699018582065538,0.814453125
0,22,IDLGated,one_shot_14,one_shot,1,1.0,0.3541666567325592,0.3541666567325592,0.010986942797899246,0.022317242865132442,0.888671875
0,23,MLP,recurring_2,recurring,3,0.9166666865348816,1.0,0.0,1.0,0.0,0.888671875
0,23,ChevronSlow,recurring_2,recurring,3,0.9166666865348816,1.0,1.0,1.0,0.008933836232348486,0.849609375
0,23,IDLGated,recurring_2,recurring,3,0.8645833134651184,0.8854166865348816,0.8854166865348816,0.8175744414329529,0.012822713358572276,0.890625
0,24,MLP,recurring_2,recurring,4,1.0,0.9375,0.0,1.0,0.0,0.83203125
0,24,ChevronSlow,recurring_2,recurring,4,1.0,1.0,1.0,1.0,0.004921421686499592,0.8515625
0,24,IDLGated,recurring_2,recurring,4,1.0,0.9270833134651184,0.9583333134651184,0.9890130758285522,0.006433264628586998,0.880859375
0,25,MLP,one_shot_13,one_shot,1,1.0,0.2395833283662796,0.0,1.0,0.0,0.7265625
0,25,ChevronSlow,one_shot_13,one_shot,1,1.0,0.09375,0.6145833134651184,1.0,0.025016328251804894,0.818359375
0,25,IDLGated,one_shot_13,one_shot,1,0.875,0.0,0.0,0.010986942797899246,0.03408592013489271,0.880859375
0,26,MLP,one_shot_11,one_shot,1,0.9375,0.625,0.0,1.0,0.0,0.8203125
0,26,ChevronSlow,one_shot_11,one_shot,1,0.9583333134651184,0.4583333432674408,0.6979166865348816,1.0,0.030372841275853588,0.86328125
0,26,IDLGated,one_shot_11,one_shot,1,0.9375,0.2395833283662796,0.25,0.010986942797899246,0.03724082658129821,0.880859375
0,27,MLP,recurring_1,recurring,7,1.0,0.9895833134651184,0.0,1.0,0.0,0.81640625
0,27,ChevronSlow,recurring_1,recurring,7,1.0,1.0,1.0,1.0,0.007426788597790349,0.873046875
0,27,IDLGated,recurring_1,recurring,7,0.96875,1.0,1.0,0.9999985694885254,0.00954085619087438,0.912109375
0,28,MLP,recurring_1,recurring,8,1.0,1.0,0.0,1.0,0.0,0.89453125
0,28,ChevronSlow,recurring_1,recurring,8,1.0,1.0,1.0,1.0,0.00915766233886613,0.900390625
