seed,model,provisional_acc_all,provisional_acc_one_shot,provisional_acc_recurring_late,n_acc_recurring_final,n_acc_one_shot_final,false_consolidation_gap,background_acc_final,rho_one_shot,rho_recurring_late
0,MLP,0.9544270858168602,0.9479166716337204,0.9934895858168602,1.0,0.9371337890625,0.9371337890625,0.548828125,1.0,1.0
0,ChevronSlow,0.9611235111951828,0.9550781212747097,0.9895833358168602,0.9951171875,0.600830078125,0.600830078125,0.767578125,1.0,1.0
0,IDLGated,0.9330357132213456,0.9179687462747097,0.9856770858168602,0.8388671875,0.185302734375,0.185302734375,0.90625,0.010986942797899246,1.0
1,MLP,0.9791666673762458,0.9759114608168602,1.0,0.46826171875,0.24609375,0.24609375,0.84765625,1.0,1.0
1,ChevronSlow,0.9694940469094685,0.97265625,0.9869791641831398,0.27001953125,0.2197265625,0.2197265625,0.92578125,1.0,1.0
1,IDLGated,0.9477306540523257,0.890625,0.98046875,0.37548828125,0.2738037109375,0.2738037109375,0.875,0.010986942797899246,1.0
2,MLP,0.953125,0.978515625,0.9674479141831398,0.96142578125,0.8485107421875,0.8485107421875,0.677734375,1.0,1.0
2,ChevronSlow,0.9555431540523257,0.9765625,0.9609375,0.84716796875,0.71923828125,0.71923828125,0.748046875,1.0,1.0
2,IDLGated,0.9358258917927742,0.9505208283662796,0.96484375,0.81884765625,0.5791015625,0.5791015625,0.80078125,0.010986942797899246,1.0
3,MLP,0.970238093818937,0.9498697891831398,1.0,0.60546875,0.483642578125,0.483642578125,0.82421875,1.0,1.0
3,ChevronSlow,0.96391369083098,0.943359375,1.0,0.5234375,0.3519287109375,0.3519287109375,0.857421875,1.0,1.0
3,IDLGated,0.9375000010643687,0.9238281287252903,1.0,0.5556640625,0.3826904296875,0.3826904296875,0.85546875,0.010986942797899246,1.0
4,MLP,0.9724702366760799,0.9407552070915699,0.984375,0.88720703125,0.7247314453125,0.7247314453125,0.6796875,1.0,1.0
4,ChevronSlow,0.9698660703642028,0.9368489533662796,0.9830729216337204,0.77734375,0.6485595703125,0.6485595703125,0.7265625,1.0,1.0
4,IDLGated,0.9449404744165284,0.9121093712747097,0.984375,0.771484375,0.6015625,0.6015625,0.70703125,0.010986942797899246,1.0
5,MLP,0.9700520836881229,1.0,1.0,0.77880859375,0.75048828125,0.75048828125,0.69140625,1.0,1.0
5,ChevronSlow,0.9737723214285714,0.9837239570915699,1.0,0.7314453125,0.79736328125,0.79736328125,0.671875,1.0,1.0
5,IDLGated,0.9367559504296098,0.9374999981373549,1.0,0.72265625,0.797119140625,0.797119140625,0.689453125,0.010986942797899246,1.0
6,MLP,0.9713541652475085,0.9713541679084301,0.9947916641831398,0.865234375,0.3265380859375,0.3265380859375,0.794921875,1.0,1.0
6,ChevronSlow,0.9728422633239201,0.9817708320915699,0.9869791716337204,0.87255859375,0.329345703125,0.329345703125,0.80078125,1.0,1.0
6,IDLGated,0.9546130959476743,0.9602864608168602,0.9830729141831398,0.8525390625,0.2998046875,0.2998046875,0.814453125,0.010986942797899246,1.0
7,MLP,0.9322916663118771,0.9388020820915699,0.9596354141831398,0.59375,0.4459228515625,0.4459228515625,0.751953125,1.0,1.0
7,ChevronSlow,0.9365699418953487,0.9466145858168602,0.9739583358168602,0.568359375,0.44091796875,0.44091796875,0.79296875,1.0,1.0
7,IDLGated,0.9146205335855484,0.9244791641831398,0.96875,0.63525390625,0.512939453125,0.512939453125,0.80078125,0.010986942797899246,1.0
