model,n,provisional_acc_all,provisional_acc_one_shot,provisional_acc_recurring_late,n_acc_recurring_final,n_acc_one_shot_final,false_consolidation_gap,background_acc_final,rho_one_shot,rho_recurring_late
MLP,8,0.962890624866954,0.9628906254656613,0.987467447295785,0.77001953125,0.5953826904296875,0.5953826904296875,0.72705078125,1.0,1.0
ChevronSlow,8,0.962890625,0.9620768218301237,0.9851888036355376,0.69818115234375,0.51348876953125,0.51348876953125,0.786376953125,1.0,1.0
IDLGated,8,0.9381277893137718,0.927164712222293,0.9833984375,0.69635009765625,0.45404052734375,0.45404052734375,0.80615234375,0.010986942797899246,1.0
