seed,t,model,phase,window,accuracy,loss,rho,diff,persistence,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
0,0,MLP,stable,other,0.171875,0.722503662109375,1.0,0.0,0.0,0.0,0.0,0.0
0,0,ChevronSlow,stable,other,0.453125,0.7310880422592163,1.0,0.0,0.0,0.0,0.0,0.0
0,0,IDLGated,stable,other,0.453125,0.713060736656189,0.0007460289634764194,0.0,0.0,0.0,0.0,0.0
0,1,MLP,stable,other,0.359375,0.7047201991081238,1.0,0.0,0.0,0.0,0.0,0.0
0,1,ChevronSlow,stable,other,0.421875,0.7224674224853516,1.0,0.024959793389816534,7.487938016944967e-05,0.00258956738789332,0.0,0.0
0,1,IDLGated,stable,other,0.421875,0.7028184533119202,0.0007472310680896044,0.017902273382503022,5.3706820147509114e-05,0.002668878300818104,0.0,0.0
0,2,MLP,stable,other,0.609375,0.6903266906738281,1.0,0.0,0.0,0.0,0.0,0.0
0,2,ChevronSlow,stable,other,0.296875,0.7249085903167725,1.0,0.05709575471572431,0.0002459420061761144,0.005047814092770473,0.0,0.0
0,2,IDLGated,stable,other,0.296875,0.7043026685714722,0.0007500358624383807,0.04171388740295815,0.00017868736189594116,0.00507573826408853,0.0,0.0
0,3,MLP,stable,other,0.8125,0.6705387234687805,1.0,0.0,0.0,0.0,0.0,0.0
0,3,ChevronSlow,stable,other,0.421875,0.6909759640693665,1.0,0.07921539465536527,0.0004828503641236821,0.0072429119249036965,0.0,0.0
0,3,IDLGated,stable,other,0.796875,0.6710473299026489,0.0007540161604993045,0.05903481985285349,0.000355255759368814,0.0071461717441148286,0.0,0.0
0,4,MLP,stable,other,0.75,0.6637682914733887,1.0,0.0,0.0,0.0,0.0,0.0
0,4,ChevronSlow,stable,other,0.703125,0.6684175729751587,1.0,0.1001236758786228,0.0007817728406671798,0.009384229439285052,0.0,0.0
0,4,IDLGated,stable,other,0.828125,0.6638027429580688,0.0007591763278469443,0.0761896066649361,0.0005827588120855161,0.009333914427561952,0.0,0.0
0,5,MLP,stable,other,0.734375,0.6498720645904541,1.0,0.0,0.0,0.0,0.0,0.0
0,5,ChevronSlow,stable,other,0.859375,0.6657141447067261,1.0,0.13068122887219802,0.0011714712087617725,0.011447994520844478,0.0,0.0
0,5,IDLGated,stable,other,0.8125,0.6572219729423523,0.0007659635157324374,0.09955621370663177,0.000879679176769155,0.01146910428900825,0.0,0.0
0,6,MLP,stable,other,0.75,0.6416226029396057,1.0,0.0,0.0,0.0,0.0,0.0
0,6,ChevronSlow,stable,other,0.828125,0.6485675573348999,1.0,0.12669085833579935,0.0015480293701428856,0.013494876340094972,0.0,0.0
0,6,IDLGated,stable,other,0.84375,0.6433528065681458,0.0007729310891591012,0.10156841779682281,0.0011817453926293163,0.013612817842090433,0.0,0.0
0,7,MLP,stable,other,0.875,0.5988671779632568,1.0,0.0,0.0,0.0,0.0,0.0
