model,window,n,accuracy,loss,rho,diff,persistence,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
ChevronSlow,post_shift_retained,7500,0.9713208333333333,0.13532036532238126,1.0,0.23221438901638805,0.37609452373680985,0.04529585850464254,0.46727804562830244,0.34741535266920565
ChevronSlow,pre_shift_stable_300,1800,0.9746267361111111,0.1149245795659307,1.0,0.06289679325523888,0.06796930379705945,0.014321504858728363,0.31837086150622956,0.0
ChevronSlow,pre_temp_stable_300,1800,0.97125,0.12579756886387863,1.0,0.09675032631022097,0.2080453302425137,0.026466858349105907,0.0,0.0
ChevronSlow,recovery_after_temp_350,2100,0.94203125,0.18682886255461545,1.0,0.724928666590677,0.6403899341886401,0.12283665444532936,0.15222336883752524,0.0
ChevronSlow,shift_adaptation_350,2100,0.9020163690476191,0.300787629018582,1.0,1.0947127436016608,0.5071967360742289,0.1298914891827206,0.35611856155309496,0.16050715754525996
ChevronSlow,temporary_difference,600,0.7707291666666667,0.5717410152902206,1.0,1.4852435898958751,0.3476595558334057,0.09252019895804084,0.07170337448490252,0.0
IDLGated,post_shift_retained,7500,0.9710229166666666,0.1363135628439486,0.4242592790613572,0.15080895499822075,0.251205605096907,0.03663911979397274,0.48858799439784617,0.3716151295382829
IDLGated,pre_shift_stable_300,1800,0.9743055555555555,0.11582501024525199,0.07531903485664063,0.1567524178388981,0.1533567600346248,0.08309708517276303,0.2777333886698866,0.0
IDLGated,pre_temp_stable_300,1800,0.9709027777777778,0.12685744209008085,0.19917504506806533,0.19805907747668916,0.19290965122102902,0.06268417356142333,0.0,0.0
IDLGated,recovery_after_temp_350,2100,0.9409449404761905,0.1937285920822372,0.9914372522490366,0.293158722622666,0.506574997495584,0.056992370620768916,0.204253007434745,0.0
IDLGated,shift_adaptation_350,2100,0.8957217261904762,0.30717439262462515,0.937750974822612,0.9655385792359364,0.5797186701380005,0.09661926954670737,0.3724893808340332,0.206025926933678
IDLGated,temporary_difference,600,0.7777083333333333,0.5602585656195879,0.8382814510911704,1.6682040007219807,0.40025050306619947,0.10174894594416718,0.07809606521908222,0.0
MLP,post_shift_retained,7500,0.96875625,0.14354670118664703,1.0,0.0,0.0,0.0,0.0,0.0
MLP,pre_shift_stable_300,1800,0.97375,0.11687010284616715,1.0,0.0,0.0,0.0,0.0,0.0
MLP,pre_temp_stable_300,1800,0.9698784722222222,0.12912092032428418,1.0,0.0,0.0,0.0,0.0,0.0
MLP,recovery_after_temp_350,2100,0.9413690476190476,0.19029903253895186,1.0,0.0,0.0,0.0,0.0,0.0
MLP,shift_adaptation_350,2100,0.8963541666666667,0.30453743708630404,1.0,0.0,0.0,0.0,0.0,0.0
MLP,temporary_difference,600,0.772578125,0.5632271054387092,1.0,0.0,0.0,0.0,0.0,0.0
