seed,step,phase,model,combined_a,combined_b,a_channel_a,a_channel_b,n_channel_a,n_channel_b,rho,persistence,a_n_distance
0,0,A,MLP,0.72998046875,0.3642578125,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,A,ChevronSlow,0.52392578125,0.3720703125,0.52392578125,0.3720703125,0.52392578125,0.3720703125,1.0,0.0,0.0
0,0,A,IDLGated,0.47607421875,0.6279296875,0.47607421875,0.6279296875,0.47607421875,0.6279296875,1.0,0.0,0.0
0,100,A,MLP,0.931640625,0.21826171875,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,100,A,ChevronSlow,0.935546875,0.20361328125,0.935546875,0.20166015625,0.921875,0.22998046875,1.0,0.2992763880742049,0.1206608373546186
0,100,A,IDLGated,0.93505859375,0.203125,0.935546875,0.2021484375,0.9248046875,0.2333984375,0.18658310174942017,0.2930742233049972,0.12949550408266708
0,200,A,MLP,0.93603515625,0.2158203125,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,200,A,ChevronSlow,0.95166015625,0.2158203125,0.951171875,0.2158203125,0.935546875,0.22802734375,1.0,0.7754149752037443,0.12261104661816574
0,200,A,IDLGated,0.9501953125,0.21142578125,0.95263671875,0.21044921875,0.92919921875,0.2431640625,0.9999665021896362,0.8283889354447519,0.12675506403073725
0,300,A,MLP,0.9482421875,0.20458984375,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,300,A,ChevronSlow,0.9736328125,0.1962890625,0.97412109375,0.1943359375,0.95068359375,0.20556640625,1.0,0.9140353667033666,0.12339369276676387
0,300,A,IDLGated,0.97119140625,0.1943359375,0.974609375,0.19189453125,0.9443359375,0.224609375,0.999998927116394,0.9851412000325613,0.1258909147425035
0,400,A,MLP,0.9599609375,0.20263671875,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,400,A,ChevronSlow,0.9775390625,0.20166015625,0.97900390625,0.19970703125,0.966796875,0.21142578125,1.0,0.8957389347146077,0.1209583169867377
0,400,A,IDLGated,0.98046875,0.19970703125,0.98046875,0.19482421875,0.96142578125,0.21923828125,0.9999980926513672,0.9592752847136203,0.12421726477856652
0,500,A,MLP,0.9775390625,0.1962890625,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,500,A,ChevronSlow,0.98486328125,0.19677734375,0.9853515625,0.19580078125,0.97705078125,0.20166015625,1.0,0.8068202261812948,0.11268087682653853
0,500,A,IDLGated,0.986328125,0.1982421875,0.9873046875,0.1953125,0.9765625,0.20654296875,0.9999808073043823,0.8535949546843042,0.11490547334085988
0,600,A,MLP,0.9755859375,0.19580078125,0.0,0.0,0.0,0.0,1.0,0.0,0.0
