seed,t,model,phase,window,accuracy,loss,rho,diff,persistence,a_n_distance,n_move_from_temp_start,n_move_from_shift_start
0,0,MLP,stable,other,0.171875,0.722503662109375,1.0,0.0,0.0,0.0,0.0,0.0
0,0,ChevronSlow,stable,other,0.453125,0.7310880422592163,1.0,0.0,0.0,0.0,0.0,0.0
0,0,IDLGated,stable,other,0.453125,0.713060736656189,0.0007460289634764194,0.0,0.0,0.0,0.0,0.0
0,1,MLP,stable,other,0.359375,0.7047201991081238,1.0,0.0,0.0,0.0,0.0,0.0
0,1,ChevronSlow,stable,other,0.421875,0.7224674224853516,1.0,0.024959793389816534,1.2479896694906893e-05,0.00258956738789332,0.0,0.0
0,1,IDLGated,stable,other,0.421875,0.7028184533119202,0.0007462291396223009,0.017902273382503022,8.951136691250525e-06,0.002668878300818104,0.0,0.0
0,2,MLP,stable,other,0.609375,0.6903266906738281,1.0,0.0,0.0,0.0,0.0,0.0
0,2,ChevronSlow,stable,other,0.296875,0.7249085903167725,1.0,0.05709575471572431,4.1021534104418454e-05,0.005047814092770473,0.0,0.0
0,2,IDLGated,stable,other,0.296875,0.7043026685714722,0.0007466957904398441,0.04171378091696388,2.9803551581384543e-05,0.005075771433461286,0.0,0.0
0,3,MLP,stable,other,0.8125,0.6705387234687805,1.0,0.0,0.0,0.0,0.0,0.0
0,3,ChevronSlow,stable,other,0.421875,0.6909759640693665,1.0,0.07921539465536527,8.060872066504452e-05,0.0072429119249036965,0.0,0.0
0,3,IDLGated,stable,other,0.796875,0.6710472106933594,0.0007473563891835511,0.05903333602387088,5.930531781752604e-05,0.007146052076258084,0.0,0.0
0,4,MLP,stable,other,0.75,0.6637682914733887,1.0,0.0,0.0,0.0,0.0,0.0
0,4,ChevronSlow,stable,other,0.703125,0.6684175729751587,1.0,0.1001236758786228,0.0001306302542440179,0.009384229439285052,0.0,0.0
0,4,IDLGated,stable,other,0.828125,0.6638033390045166,0.0007482097717002034,0.07618739205248246,9.736936118485432e-05,0.009334064165461921,0.0,0.0
0,5,MLP,stable,other,0.734375,0.6498720645904541,1.0,0.0,0.0,0.0,0.0,0.0
0,5,ChevronSlow,stable,other,0.859375,0.6657141447067261,1.0,0.13068122887219802,0.0001959055535529877,0.011447994520844478,0.0,0.0
0,5,IDLGated,stable,other,0.8125,0.6572235822677612,0.0007493257289752364,0.09955382417195877,0.0001470975885902358,0.011469834973796084,0.0,0.0
0,6,MLP,stable,other,0.75,0.6416226029396057,1.0,0.0,0.0,0.0,0.0,0.0
0,6,ChevronSlow,stable,other,0.828125,0.6485675573348999,1.0,0.12669085833579935,0.0002591530299441039,0.013494876340094972,0.0,0.0
0,6,IDLGated,stable,other,0.84375,0.6433583498001099,0.0007504659588448703,0.10157962644204575,0.00019781385301695796,0.01361547016651214,0.0,0.0
0,7,MLP,stable,other,0.875,0.5988671779632568,1.0,0.0,0.0,0.0,0.0,0.0
