seed,step,phase,model,combined_task1,combined_task2,a_channel_task1,a_channel_task2,n_channel_task1,n_channel_task2,rho,persistence,a_n_distance
0,1300,task1,MLP,0.98681640625,0.19482421875,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1300,task1,ChevronSlow,0.98779296875,0.19482421875,0.98583984375,0.1953125,0.99267578125,0.19384765625,1.0,0.012398156526638483,0.050618093938938964
0,1300,task1,IDLGated,0.98583984375,0.19384765625,0.98583984375,0.1943359375,0.98974609375,0.1962890625,0.00048285204684361815,0.012940111332964212,0.05180761334605276
0,1400,task1,MLP,0.99072265625,0.19482421875,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1400,task1,ChevronSlow,0.99267578125,0.1943359375,0.9931640625,0.1943359375,0.990234375,0.1943359375,1.0,0.006791966806130449,0.04622392916356066
0,1400,task1,IDLGated,0.99072265625,0.19580078125,0.9912109375,0.1943359375,0.98876953125,0.19775390625,0.0004245546297170222,0.007088860868330609,0.0463125940461396
0,1500,task1,MLP,0.99267578125,0.19384765625,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1500,task1,ChevronSlow,0.99365234375,0.1943359375,0.9931640625,0.193359375,0.9931640625,0.1943359375,1.0,0.0037207800205185243,0.042952965010675685
0,1500,task1,IDLGated,0.990234375,0.19384765625,0.98974609375,0.19287109375,0.990234375,0.19580078125,0.0003956579603254795,0.0038834247339537948,0.04338242434935698
0,1600,task1,MLP,0.98876953125,0.1904296875,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1600,task1,ChevronSlow,0.9892578125,0.19189453125,0.98779296875,0.1923828125,0.9921875,0.19189453125,1.0,0.0020383203210878505,0.03692916456287566
0,1600,task1,IDLGated,0.9873046875,0.19189453125,0.98779296875,0.1923828125,0.99169921875,0.19287109375,0.0003806701279245317,0.002127420462102481,0.03715539373765862
0,1700,task1,MLP,0.99365234375,0.19091796875,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1700,task1,ChevronSlow,0.9931640625,0.19189453125,0.9931640625,0.19189453125,0.994140625,0.19189453125,1.0,0.0011166340682459035,0.035310784194232704
0,1700,task1,IDLGated,0.99169921875,0.193359375,0.99169921875,0.19287109375,0.9921875,0.193359375,0.00037270147004164755,0.0011654449700031658,0.03639275445367966
0,1800,task1,MLP,0.99365234375,0.18994140625,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1800,task1,ChevronSlow,0.9921875,0.19140625,0.99169921875,0.19140625,0.99365234375,0.19189453125,1.0,0.0006117152586213448,0.034444409813582176
0,1800,task1,IDLGated,0.990234375,0.1904296875,0.99072265625,0.18994140625,0.99169921875,0.1923828125,0.0003684069379232824,0.0006384548810644331,0.0338952482811372
0,1900,task1,MLP,0.9912109375,0.1865234375,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1900,task1,ChevronSlow,0.9912109375,0.18603515625,0.98779296875,0.185546875,0.994140625,0.19091796875,1.0,0.00033511028211596184,0.03227058568930067
0,1900,task1,IDLGated,0.98779296875,0.185546875,0.98486328125,0.18310546875,0.99072265625,0.19140625,0.00036607528454624116,0.00034975880084144376,0.03248059797244513
0,2000,task1,MLP,0.9921875,0.193359375,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2000,task1,ChevronSlow,0.994140625,0.19384765625,0.99462890625,0.19384765625,0.99365234375,0.19384765625,1.0,0.0001835803498394556,0.029548595089982494
0,2000,task1,IDLGated,0.9931640625,0.19482421875,0.99267578125,0.1953125,0.99267578125,0.19482421875,0.00036480423295870423,0.00019160511164405806,0.030173596057956276
0,2100,task1,MLP,0.99267578125,0.1962890625,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2100,task1,ChevronSlow,0.99365234375,0.19677734375,0.9931640625,0.197265625,0.9951171875,0.19482421875,1.0,0.00010056911603659696,0.02865151293827048
0,2100,task1,IDLGated,0.9931640625,0.19775390625,0.9921875,0.1982421875,0.99365234375,0.1943359375,0.0003641098737716675,0.00010496524667802398,0.02934973358763255
0,2200,end_task1,MLP,0.99462890625,0.19189453125,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2200,end_task1,ChevronSlow,0.99365234375,0.1923828125,0.99365234375,0.1923828125,0.99462890625,0.19287109375,1.0,5.50938436996526e-05,0.027687468618479823
0,2200,end_task1,IDLGated,0.99169921875,0.19091796875,0.99169921875,0.1904296875,0.99462890625,0.19287109375,0.00036372998147271574,5.750213507166677e-05,0.026975702780087457
0,2300,task2,MLP,0.13623046875,0.91064453125,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2300,task2,ChevronSlow,0.1240234375,0.8916015625,0.10546875,0.88818359375,0.86328125,0.32568359375,1.0,0.46616319477411006,0.1263036984681991
0,2300,task2,IDLGated,0.14599609375,0.90966796875,0.10107421875,0.8720703125,0.9365234375,0.22900390625,0.9999980926513672,0.9591188095002982,0.1720215890981741
0,2400,task2,MLP,0.16259765625,0.9580078125,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2400,task2,ChevronSlow,0.16162109375,0.9453125,0.158203125,0.9462890625,0.1962890625,0.89013671875,1.0,0.6807481916683841,0.14147751719433674
0,2400,task2,IDLGated,0.1513671875,0.94580078125,0.1337890625,0.9150390625,0.876953125,0.27587890625,1.0,1.4635125451139863,0.16676203726831712
0,2420,end_task2,MLP,0.177734375,0.9599609375,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,2420,end_task2,ChevronSlow,0.16796875,0.947265625,0.16552734375,0.95068359375,0.17919921875,0.8974609375,1.0,0.6860229103113223,0.14394536698311977
0,2420,end_task2,IDLGated,0.169921875,0.94873046875,0.1484375,0.94091796875,0.8759765625,0.28515625,1.0,1.4751652927304224,0.16484051411360126
