model,checkpoint,n,combined_task1,combined_task2,a_channel_task1,a_channel_task2,n_channel_task1,n_channel_task2,rho,persistence,a_n_distance,retained_task1_accuracy
MLP,end_task1,1,0.99462890625,0.19189453125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
MLP,end_task2,1,0.177734375,0.9599609375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
MLP,forgetting,1,0.81689453125,0.9599609375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.177734375
ChevronSlow,end_task1,1,0.99365234375,0.1923828125,0.99365234375,0.1923828125,0.99462890625,0.19287109375,1.0,5.50938436996526e-05,0.027687468618479823,
ChevronSlow,end_task2,1,0.16796875,0.947265625,0.16552734375,0.95068359375,0.17919921875,0.8974609375,1.0,0.6860229103113223,0.14394536698311977,
ChevronSlow,forgetting,1,0.82568359375,0.947265625,0.828125,0.95068359375,0.8154296875,0.8974609375,1.0,0.6860229103113223,0.14394536698311977,0.17919921875
IDLGated,end_task1,1,0.99169921875,0.19091796875,0.99169921875,0.1904296875,0.99462890625,0.19287109375,0.00036372998147271574,5.750213507166677e-05,0.026975702780087457,
IDLGated,end_task2,1,0.169921875,0.94873046875,0.1484375,0.94091796875,0.8759765625,0.28515625,1.0,1.4751652927304224,0.16484051411360126,
IDLGated,forgetting,1,0.82177734375,0.94873046875,0.84326171875,0.94091796875,0.11865234375,0.28515625,1.0,1.4751652927304224,0.16484051411360126,0.8759765625
