seed,t,model,phase,window,y,pred,correct,loss,rho,diff,persistence
0,0,MLP,pre_shift,other,1,0.5497658277970421,1,0.5982628590621402,1.0,0.0,0.0
0,0,ChevronSlow,pre_shift,other,1,0.5238508523104923,1,0.6465482681719977,1.0,6.190366220477209e-18,1.5475915551193024e-19
0,0,IDLGated,pre_shift,other,1,0.42671087020780807,0,0.8516486140533555,0.07378164660246528,3.992017678669852e-17,9.98004419667463e-19
0,1,MLP,transient_burst,transient_bursts,0,0.48154413555714026,1,0.6569003765501478,1.0,0.0,0.0
0,1,ChevronSlow,transient_burst,transient_bursts,0,0.4544758110311969,1,0.6060081319445453,1.0,0.01295356082922089,0.0003238390207305224
0,1,IDLGated,transient_burst,transient_bursts,0,0.5261067682690752,0,0.7467732321723591,0.07437337473732585,0.015685582692578182,0.00039213956731445557
0,2,MLP,transient_burst,transient_bursts,1,0.5198186867838297,1,0.654275207471278,1.0,0.0,0.0
0,2,ChevronSlow,transient_burst,transient_bursts,1,0.5902578165638563,1,0.5271958603022409,1.0,0.007892875233225186,0.000513064926042889
0,2,IDLGated,transient_burst,transient_bursts,1,0.5074886791502984,1,0.6782808754080096,0.07481679296625926,0.012071257093991011,0.0006841175054813695
0,3,MLP,transient_burst,transient_bursts,0,0.5427688594579005,0,0.7825662379590442,1.0,0.0,0.0
0,3,ChevronSlow,transient_burst,transient_bursts,0,0.45156091574809754,1,0.6006790642275863,1.0,0.01960581006611581,0.0009903835545447119
0,3,IDLGated,transient_burst,transient_bursts,0,0.43441979343456166,1,0.5699031604763476,0.07610716382590592,0.03431270945096307,0.001524832304118412
0,4,MLP,transient_burst,transient_bursts,0,0.4825855287109381,1,0.658911040373057,1.0,0.0,0.0
0,4,ChevronSlow,transient_burst,transient_bursts,0,0.40912105854939945,1,0.5261441193589759,1.0,0.01689102848439961,0.0013878996777910843
0,4,IDLGated,transient_burst,transient_bursts,0,0.47462183589330403,1,0.6436369631069292,0.07667902255349143,0.016261071801103102,0.001893238291543029
0,5,MLP,transient_burst,transient_bursts,0,0.47358555574196926,1,0.6416664596475848,1.0,0.0,0.0
0,5,ChevronSlow,transient_burst,transient_bursts,0,0.37185245162027863,1,0.4649801904610469,1.0,0.04239670880185287,0.0024131199058926287
0,5,IDLGated,transient_burst,transient_bursts,0,0.4428687726432458,1,0.5849544701126337,0.07854039147475779,0.04917114244651522,0.003075185895417334
0,6,MLP,transient_burst,transient_bursts,0,0.5362477738346813,0,0.7684048647155314,1.0,0.0,0.0
0,6,ChevronSlow,transient_burst,transient_bursts,0,0.48376092531566706,1,0.6611852977698951,1.0,0.03198748434432254,0.0031524790168533765
0,6,IDLGated,transient_burst,transient_bursts,0,0.4019729415429164,1,0.5141192777991841,0.07969588917902108,0.03191108666365965,0.003796083414623392
0,7,MLP,transient_burst,transient_bursts,0,0.5091925544042437,0,0.7117033959349471,1.0,0.0,0.0
0,7,ChevronSlow,transient_burst,transient_bursts,0,0.4569276424625738,1,0.6105127127924966,1.0,0.06542678200614095,0.004709336591585566
0,7,IDLGated,transient_burst,transient_bursts,0,0.39772852800398284,1,0.5070469851612848,0.0823441319901113,0.0684704709103586,0.0054129431020167726
0,8,MLP,transient_burst,transient_bursts,1,0.4608852658676247,0,0.774606147942791,1.0,0.0,0.0
0,8,ChevronSlow,transient_burst,transient_bursts,1,0.5569108734536922,1,0.5853500636108961,1.0,0.026852901116452024,0.005262925704707227
0,8,IDLGated,transient_burst,transient_bursts,1,0.564826352983021,1,0.5712369349273281,0.08299207441203342,0.0209479445729836,0.005801318138790943
0,9,MLP,transient_burst,transient_bursts,0,0.48344819673611983,1,0.6605796987163359,1.0,0.0,0.0
0,9,ChevronSlow,transient_burst,transient_bursts,0,0.42209356635370165,1,0.5483433029183349,1.0,0.09111028701338886,0.007409109737424268
0,9,IDLGated,transient_burst,transient_bursts,0,0.39504677657649023,1,0.502604140595738,0.08714691705257897,0.10287667499409998,0.008228202060173669
0,10,MLP,transient_burst,transient_bursts,0,0.4546840652126222,1,0.6063899554206353,1.0,0.0,0.0
0,10,ChevronSlow,transient_burst,transient_bursts,0,0.3970215064878193,1,0.5058737487082711,1.0,0.11305543285071797,0.01005026781525661
0,10,IDLGated,transient_burst,transient_bursts,0,0.40613979305141906,1,0.5211113291541337,0.09261943889486612,0.1298948442388079,0.011269868114639526
0,11,MLP,transient_burst,transient_bursts,0,0.4954394602515354,1,0.6840674468864212,1.0,0.0,0.0
0,11,ChevronSlow,transient_burst,transient_bursts,0,0.5294131224238636,0,0.7537746875312524,1.0,0.07414775788165834,0.011652705066916654
0,11,IDLGated,transient_burst,transient_bursts,0,0.4404506097925532,1,0.5806234795096931,0.0959692109654058,0.08259151159692667,0.013052909201696704
0,12,MLP,transient_burst,transient_bursts,1,0.4795258377401046,0,0.7349575013552042,1.0,0.0,0.0
0,12,ChevronSlow,transient_burst,transient_bursts,1,0.5381924637559606,1,0.6195390434704607,1.0,0.0767509022423168,0.013280159996301659
0,12,IDLGated,transient_burst,transient_bursts,1,0.47533008785016,0,0.7437457945040276,0.09911454340937775,0.07802393227878524,0.014677184778623918
0,13,MLP,transient_burst,transient_bursts,1,0.49789194134965536,0,0.6973722107438435,1.0,0.0,0.0
0,13,ChevronSlow,transient_burst,transient_bursts,1,0.619659616425452,1,0.47858495746724594,1.0,0.022710356524931762,0.013515914909517411
0,13,IDLGated,transient_burst,transient_bursts,1,0.5783379882660148,1,0.5475968264267257,0.10091077339655218,0.05096145576507828,0.015584291553285277
0,14,MLP,transient_burst,transient_bursts,1,0.5289647023742706,1,0.636833574540477,1.0,0.0,0.0
0,14,ChevronSlow,transient_burst,transient_bursts,1,0.6124924665463359,1,0.4902186361550809,1.0,0.012618821772983646,0.013493487581104066
0,14,IDLGated,transient_burst,transient_bursts,1,0.5123723372054391,1,0.6687036971353962,0.1018268302283385,0.03386851765051345,0.01604139720571598
0,15,MLP,transient_burst,transient_bursts,1,0.5459580752926544,1,0.6052130913636534,1.0,0.0,0.0
0,15,ChevronSlow,transient_burst,transient_bursts,1,0.6309842200261397,1,0.4604744246361306,1.0,0.0442642729588999,0.014262757215548962
0,15,IDLGated,transient_burst,transient_bursts,1,0.5346425799227873,1,0.626156830258294,0.10513156176996925,0.08081427989643508,0.01766071927298396
0,16,MLP,transient_burst,transient_bursts,0,0.4133635415014426,1,0.5333499721394073,1.0,0.0,0.0
0,16,ChevronSlow,transient_burst,transient_bursts,0,0.32737287047302377,1,0.3965641451831756,1.0,0.15122824598413293,0.01768689443476356
0,16,IDLGated,transient_burst,transient_bursts,0,0.3984526442391445,1,0.5082500172219222,0.11385247676407834,0.1803594126675636,0.021728186607848452
0,17,MLP,transient_burst,transient_bursts,1,0.5022237006504232,1,0.6887096397234459,1.0,0.0,0.0
0,17,ChevronSlow,transient_burst,transient_bursts,1,0.5780566821427241,1,0.5480833491270424,1.0,0.059672688655990756,0.01873653929029424
0,17,IDLGated,transient_burst,transient_bursts,1,0.6011290035206044,1,0.5089457193597353,0.11873048742898498,0.10804184451197138,0.023886028055451525
0,18,MLP,transient_burst,transient_bursts,0,0.4439612673044458,1,0.5869173240364167,1.0,0.0,0.0
0,18,ChevronSlow,transient_burst,transient_bursts,0,0.3802000852286834,1,0.47835857113847513,1.0,0.14533668186336574,0.021901542854621026
0,18,IDLGated,transient_burst,transient_bursts,0,0.38063648447663834,1,0.4790629161107806,0.12779365646488897,0.17642831652142094,0.027699585267100764
0,19,MLP,transient_burst,transient_bursts,0,0.46112724921651865,1,0.6182758198349732,1.0,0.0,0.0
0,19,ChevronSlow,transient_burst,transient_bursts,0,0.43969934899578406,1,0.5792817625264832,1.0,0.10651329927610217,0.024016836765158055
0,19,IDLGated,transient_burst,transient_bursts,0,0.4281712767823486,1,0.5589157673761063,0.13364647980272784,0.12136173115420429,0.03004113891427835
0,20,MLP,transient_burst,transient_bursts,1,0.5158362292918909,1,0.6619659489711174,1.0,0.0,0.0
0,20,ChevronSlow,transient_burst,transient_bursts,1,0.5393793829959769,1,0.6173360911130774,1.0,0.055426861935149556,0.024802087394407844
0,20,IDLGated,transient_burst,transient_bursts,1,0.45017280562868744,0,0.7981237574235097,0.13523977774707935,0.05493570169708063,0.030663502983848408
