model,checkpoint,n,combined_task1,combined_task2,a_channel_task1,a_channel_task2,n_channel_task1,n_channel_task2,rho,persistence,a_n_distance,retained_task1_accuracy
MLP,end_task1,8,0.99127197265625,0.19573974609375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
MLP,end_task2,8,0.16290283203125,0.9495849609375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,
MLP,forgetting,8,0.828369140625,0.9495849609375,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16290283203125
ChevronSlow,end_task1,8,0.99249267578125,0.19635009765625,0.9921875,0.19677734375,0.99273681640625,0.19500732421875,1.0,4.9251116738450314e-05,0.02643107713092615,
ChevronSlow,end_task2,8,0.16949462890625,0.96051025390625,0.167724609375,0.96185302734375,0.19232177734375,0.8990478515625,1.0,0.6817988296111754,0.15066220707538597,
ChevronSlow,forgetting,8,0.822998046875,0.96051025390625,0.824462890625,0.96185302734375,0.8004150390625,0.8990478515625,1.0,0.6817988296111754,0.15066220707538597,0.19232177734375
IDLGated,end_task1,8,0.99212646484375,0.19561767578125,0.9918212890625,0.19598388671875,0.993408203125,0.1943359375,0.0003636666078818962,4.958100046819582e-05,0.02627725564072978,
IDLGated,end_task2,8,0.16583251953125,0.9578857421875,0.1507568359375,0.9486083984375,0.7835693359375,0.37371826171875,1.0,1.3874690575548503,0.18051791144825532,
IDLGated,forgetting,8,0.8262939453125,0.9578857421875,0.841064453125,0.9486083984375,0.2098388671875,0.37371826171875,1.0,1.3874690575548503,0.18051791144825532,0.7835693359375
